식당명,Date,Map,Rate,사람,수식,식당 분류,주요 메뉴,지역-대분류,지역-소분류
톨,2025-04-17,https://place.map.kakao.com/18515034,🥄🥄🥄,,서울 마포구 : 신촌/대흥,"🍚한식, 🍣일식",마제소바,서울 마포구,신촌/대흥
한창희천하일면,2024-04-18,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
양지분식,2024-04-12,https://place.map.kakao.com/21410030,🥄🥄,,서울 마포구 : 신촌/대흥,🍙분식,덮밥,서울 마포구,신촌/대흥
두끼떡볶이 이대점,2024-04-22,https://place.map.kakao.com/26949275,🥄🥄,,서울 마포구 : 신촌,🍙분식,떡볶이,서울 마포구,신촌
마포쌈밥식당,2024-06-13,https://place.map.kakao.com/1919542306,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,쌈밥,서울 마포구,신촌/대흥
봉구스밥버거 서강대점,2024-04-02,https://place.map.kakao.com/169029905,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,밥버거,서울 마포구,신촌/대흥
프레퍼스 다이어트 푸드,2024-04-22,https://place.map.kakao.com/929376837,🥄🥄,,서울 마포구 : 신촌,🥗샐러드,샐러드,서울 마포구,신촌
미가,2024-04-05,https://place.map.kakao.com/16443006,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"제육, 파전",서울 마포구,신촌/대흥
홍원,2024-04-08,https://place.map.kakao.com/13083730,🥄🥄,,서울 마포구 : 신촌/대흥,🍜중식,"짜장, 짬뽕, 탕수육",서울 마포구,신촌/대흥
김영곤초밥,2024-04-04,https://place.map.kakao.com/892664076,🥄🥄,,서울 마포구 : 신촌/대흥,🍣일식,초밥,서울 마포구,신촌/대흥
신촌맛집 떡볶이돈까스,2024-04-23,https://place.map.kakao.com/1710216831,🥄,,서울 마포구 : 신촌/대흥,🍙분식,떡볶이,서울 마포구,신촌/대흥
뜸들이다 신촌직영점,,https://place.map.kakao.com/641152180,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,덮밥,서울 마포구,신촌/대흥
남매밥상,2024-04-03,https://place.map.kakao.com/929653827,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"고등어구이, 제육, 찌개",서울 마포구,신촌/대흥
송계옥,2024-04-10,https://place.map.kakao.com/127242418,🥄🥄🥄🥄🥄,,서울 성동구 : 성수,🥩고기,"구이, 닭고기",서울 성동구,성수
페스티발,2024-04-10,https://place.map.kakao.com/1331993429,🥄🥄,,서울 성동구 : 성수,🍺술집,"맥주, 호프",서울 성동구,성수
다운타우너 광교갤러리아,2024-04-24,https://place.map.kakao.com/1624407362,🥄🥄🥄,,경기 수원 : 광교,🍔패스트푸드,햄버거,경기 수원,광교
미즈컨테이너 광교갤러리아,2024-04-25,https://place.map.kakao.com/1832557951,🥄🥄🥄🥄,,경기 수원 : 광교,🍝양식,"파스타, 피자",경기 수원,광교
아웃백 광교갤러리아,2024-04-26,https://place.map.kakao.com/1681181343,🥄🥄🥄,,경기 수원 : 광교,🍝양식,"스테이크, 파스타",경기 수원,광교
르프리크,2024-03-29,https://place.map.kakao.com/936069123,🥄🥄🥄🥄🥄,,서울 성동구 : 성수,🍔패스트푸드,햄버거,서울 성동구,성수
오목집 신도림점,2024-03-29,https://place.map.kakao.com/1774627288,🥄🥄🥄🥄,,"서울 구로구 : 구로,신도림",🍚한식,족발,서울 구로구,"구로, 신도림"
원조광명할머니빈대떡,2024-04-07,https://place.map.kakao.com/18598029,🥄🥄🥄🥄,,경기 광명 : 광명,🍚한식,빈대떡,경기 광명,광명
방화동 교동짬뽕,2024-04-10,https://place.map.kakao.com/25858128,🥄🥄🥄🥄🥄,,서울 강서구 : 방화,🍜중식,짬뽕,서울 강서구,방화
브루잉세레모니,2024-04-10,https://place.map.kakao.com/804984272,🥄🥄🥄🥄🥄,,서울 성동구 : 성수,☕카페,커피,서울 성동구,성수
감탄계숯불치킨 강남점,2024-04-14,https://place.map.kakao.com/413386069,🥄🥄🥄,,서울 강남구 : 강남,🍗치킨,치킨,서울 강남구,강남
개성손만두 마포점,2024-04-29,https://place.map.kakao.com/167873776,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,만두국,서울 마포구,신촌/대흥
바른치킨 서강대 로봇점,2024-04-29,https://place.map.kakao.com/1446748474,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍗치킨,치킨,서울 마포구,신촌/대흥
멘야요시,2024-04-30,https://place.map.kakao.com/2013584419,🥄🥄,,서울 마포구 : 신촌/대흥,🍣일식,"라멘, 야끼소바",서울 마포구,신촌/대흥
킹콩부대찌개 마포대흥오남매행복점,2024-05-01,https://place.map.kakao.com/1744462722,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,부대찌개,서울 마포구,신촌/대흥
미드티운피자,2024-05-01,https://place.map.kakao.com/1620087875,🥄🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍕피자,피자,서울 마포구,신촌/대흥
통큰갈비 마포공덕점,2024-05-02,https://place.map.kakao.com/971261193,🥄🥄,,서울 마포구 : 신촌/대흥,🥩고기,돼지고기,서울 마포구,신촌/대흥
펍휘트니,2024-05-03,https://place.map.kakao.com/197316893,🥄🥄,,서울 송파구 : 송파,🍺술집,호프,서울 송파구,송파
재모식당,2024-05-03,https://place.map.kakao.com/622222463,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"돈까스, 제육",서울 마포구,신촌/대흥
오지오커피,2024-05-04,https://place.map.kakao.com/1631067502,🥄🥄🥄🥄,,서울 강서구 : 마곡,☕카페,"커피, 크루키",서울 강서구,마곡
단토리,2024-05-04,https://place.map.kakao.com/1585759764,🥄🥄🥄🥄,,서울 강서구 : 마곡,🍺술집,일본식주점,서울 강서구,마곡
하이바 마곡점,2024-05-04,https://place.map.kakao.com/2104864628,🥄🥄🥄,,서울 강서구 : 마곡,🍺술집,호프,서울 강서구,마곡
할리스코 마곡점,2024-05-05,https://place.map.kakao.com/1615433470,🥄🥄🥄🥄🥄,,서울 강서구 : 마곡,🌮멕시칸,"퀘사디아, 타코",서울 강서구,마곡
정통집,2024-04-09,https://place.map.kakao.com/398715963,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍚한식,돼지김치구이,서울 마포구,신촌
잉치킨,,https://place.map.kakao.com/1158337242,🥄🥄🥄,,서울 영등포구 : 영등포,🍗치킨,치킨,서울 영등포구,영등포
이양권반상,2024-03-08,https://place.map.kakao.com/1978020868,🥄🥄🥄,,서울 마포구 : 홍대,"🍚한식, 🍜중식",덮밥,서울 마포구,홍대
효자동 닭꼬치,2024-03-10,https://place.map.kakao.com/485793560,🥄🥄🥄🥄,,서울 종로구 : 서촌,🍙분식,닭꼬치,서울 종로구,서촌
해피치즈스마일 연남점,2024-03-02,https://place.map.kakao.com/661872026,🥄🥄🥄,,서울 마포구 : 홍대,🍙분식,떡볶이,서울 마포구,홍대
정든그릇,2024-06-14,https://place.map.kakao.com/1069804608,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍣일식,"덮밥, 돈까스, 소바",서울 마포구,신촌/대흥
미가,2024-05-08,https://place.map.kakao.com/16443006,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"제육, 파전",서울 마포구,신촌/대흥
태광식당,2024-05-08,https://place.map.kakao.com/27233428,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,백반,서울 마포구,신촌/대흥
찌니네마약통닭 염리 2호점,2024-05-09,https://place.map.kakao.com/827520709,🥄🥄,,서울 마포구 : 신촌/대흥,🍗치킨,치킨,서울 마포구,신촌/대흥
한입소반,2024-05-10,https://place.map.kakao.com/23557234,🥄🥄🥄,,서울 용산구 : 용산,🍚한식,김밥,서울 용산구,용산
싱싱나라김밥,2024-05-10,https://place.map.kakao.com/18754045,🥄🥄,,서울 용산구 : 용산,🍚한식,김밥,서울 용산구,용산
효자오리바베큐,2024-05-10,https://place.map.kakao.com/527000679,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍚한식,오리,서울 마포구,신촌
만평우동 대흥역점,2024-05-11,https://place.map.kakao.com/1305312189,🥄🥄🥄,,서울 마포구 : 대흥,🍣일식,우동,서울 마포구,대흥
태광식당,2024-05-13,https://place.map.kakao.com/27233428,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,백반,서울 마포구,신촌/대흥
파파존스 마포점,2024-05-13,https://place.map.kakao.com/26167390,🥄🥄,,서울 마포구 : 대흥,🍕피자,피자,서울 마포구,대흥
한창희천하일면,2024-05-16,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
명량핫도그 대흥역점,2024-05-16,https://place.map.kakao.com/1961550147,🥄,,서울 마포구 : 대흥,🍙분식,핫도그,서울 마포구,대흥
수저가,2024-10-15,https://place.map.kakao.com/651155763,🥄🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍜중식,짬뽕,서울 마포구,신촌/대흥
통큰갈비 마포공덕점,2024-05-17,https://place.map.kakao.com/971261193,🥄🥄,,서울 마포구 : 신촌/대흥,🥩고기,돼지고기,서울 마포구,신촌/대흥
대림호프포차,2024-05-11,https://place.map.kakao.com/1851200859,🥄🥄,,서울 중구 : 을지로,"🍚한식, 🍺술집","안주, 찌개",서울 중구,을지로
7.8 을지로,2024-05-11,https://place.map.kakao.com/1425843424,🥄🥄🥄🥄🥄,,서울 중구 : 을지로,🍺술집,막걸리,서울 중구,을지로
나노갈매기,2024-05-18,https://place.map.kakao.com/13129099,🥄🥄🥄,,서울 용산구 : 용산,🥩고기,갈매기살,서울 용산구,용산
펍피맥 용산점,2024-05-18,https://place.map.kakao.com/1392356786,🥄🥄🥄,,서울 용산구 : 용산,"🍕피자, 🍺술집","맥주, 피자",서울 용산구,용산
수저가,2024-05-14,https://place.map.kakao.com/542808268,🥄🥄🥄,,서울 마포구 : 대흥,🍜중식,짬뽕,서울 마포구,대흥
가마치통닭 서강대점,2024-05-14,https://place.map.kakao.com/1874156592,🥄🥄,,서울 마포구 : 신촌/대흥,🍗치킨,치킨,서울 마포구,신촌/대흥
치즈밥있슈 서강대점,2024-05-20,https://place.map.kakao.com/21232401,🥄🥄,,서울 마포구 : 대흥,🍚한식,치즈밥,서울 마포구,대흥
막창굽는연탄할매 직영마포점,2024-05-20,https://place.map.kakao.com/773500485,🥄🥄🥄,,서울 마포구 : 마포,🥩고기,"곱창, 막창",서울 마포구,마포
프랭크버거 서강대점,2024-05-22,https://place.map.kakao.com/834184731,🥄🥄,,서울 마포구 : 신촌/대흥,🍔패스트푸드,햄버거,서울 마포구,신촌/대흥
BBQ 마포용강점,2024-05-22,https://place.map.kakao.com/21236122,🥄,,서울 마포구 : 마포,🍗치킨,치킨,서울 마포구,마포
삼청동샤브에프소드 신촌점,2024-05-21,https://place.map.kakao.com/428917606,🥄🥄,,서울 마포구 : 신촌,🍚한식,샤브샤브,서울 마포구,신촌
광화문석갈비 코엑스점,2024-05-23,https://place.map.kakao.com/885622105,🥄🥄🥄🥄,,"서울 강남구 : 삼성,코엑스",🍚한식,석갈비,서울 강남구,"삼성, 코엑스"
능라도 강남점,2024-05-23,https://place.map.kakao.com/27261403,🥄🥄🥄🥄🥄,,서울 강남구 : 삼성,🍚한식,"냉면, 평양냉면",서울 강남구,삼성
바토스 파르나스몰점,2024-05-24,https://place.map.kakao.com/1635696078,🥄🥄🥄🥄,,"서울 강남구 : 삼성,코엑스",🌮멕시칸,"브리또, 타코",서울 강남구,"삼성, 코엑스"
클로리스티룸 코엑스몰점,2024-05-23,https://place.map.kakao.com/26897290,🥄🥄🥄🥄,,"서울 강남구 : 삼성,코엑스",☕카페,"밀크티, 카페",서울 강남구,"삼성, 코엑스"
카페드리옹 코엑스점,2024-05-24,https://place.map.kakao.com/1092315691,🥄🥄🥄,,"서울 강남구 : 삼성,코엑스",☕카페,"디저트, 카페",서울 강남구,"삼성, 코엑스"
아비꼬 신촌점,2024-05-24,https://place.map.kakao.com/17735995,🥄🥄,,서울 마포구 : 신촌,"🍚한식, 🍣일식",카레,서울 마포구,신촌
한창희천하일면,2024-06-25,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
포케올데이 공덕점,2024-05-27,https://place.map.kakao.com/1297162293,🥄🥄🥄,,서울 마포구 : 공덕,🥗샐러드,포케,서울 마포구,공덕
교촌치킨 신수점,2024-05-28,https://place.map.kakao.com/19392082,🥄🥄,,서울 마포구 : 대흥,🍗치킨,치킨,서울 마포구,대흥
동대문엽기떡볶이 마포공덕점,2024-05-28,https://place.map.kakao.com/18657538,🥄,,서울 마포구 : 대흥,🍙분식,떡볶이,서울 마포구,대흥
그릭데이 이대본점,2024-05-29,https://place.map.kakao.com/577825774,🥄🥄🥄,,서울 서대문구 : 이대,☕카페,요거트,서울 서대문구,이대
만평우동 대흥역점,2024-05-30,https://place.map.kakao.com/1305312189,🥄🥄🥄,,서울 마포구 : 대흥,🍣일식,우동,서울 마포구,대흥
한주당,2024-05-30,https://place.map.kakao.com/1557171985,🥄🥄🥄🥄,,서울 마포구 : 홍대,"🍚한식, 🍺술집",막걸리,서울 마포구,홍대
쉑쉑버거 홍대점,2024-05-31,https://place.map.kakao.com/136268965,🥄🥄🥄,,서울 마포구 : 홍대,🍔패스트푸드,햄버거,서울 마포구,홍대
마포닭곰탕 본점,2024-05-31,https://place.map.kakao.com/17361050,🥄🥄,,서울 마포구 : 대흥,🍚한식,"닭곰탕, 부대찌개",서울 마포구,대흥
마니마니톡톡,2024-05-27,https://place.map.kakao.com/1060711910,🥄🥄,,서울 마포구 : 대흥,"🍗치킨, 🍚한식","백반, 치킨",서울 마포구,대흥
한창희천하일면,2024-05-28,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
마니마니톡톡,2024-06-26,https://place.map.kakao.com/1060711910,🥄🥄,,서울 마포구 : 대흥,"🍗치킨, 🍚한식","백반, 치킨",서울 마포구,대흥
마포쌈밥식당,2024-04-11,https://place.map.kakao.com/1919542306,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,쌈밥,서울 마포구,신촌/대흥
정든그릇,2024-05-07,https://place.map.kakao.com/1069804608,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍣일식,"덮밥, 돈까스, 소바",서울 마포구,신촌/대흥
효자오리바베큐,2024-06-13,https://place.map.kakao.com/527000679,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍚한식,오리,서울 마포구,신촌
미가,2024-06-10,https://place.map.kakao.com/16443006,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,"제육, 파전",서울 마포구,신촌/대흥
버그네차돌불고기,2024-06-12,https://place.map.kakao.com/18539594,🥄🥄,,서울 마포구 : 대흥,🍚한식,"김치찌개, 불고기",서울 마포구,대흥
두찜 마포신수점,2024-06-12,https://place.map.kakao.com/1021203220,🥄,,서울 마포구 : 대흥,🍚한식,찜닭,서울 마포구,대흥
육연타,2024-06-04,https://place.map.kakao.com/1760097689,🥄🥄🥄,,서울 마포구 : 대흥,🍣일식,"돈까스, 소바",서울 마포구,대흥
민트콘디션 커피 바,2024-06-04,https://place.map.kakao.com/1705841050,🥄🥄🥄🥄,,서울 마포구 : 대흥,☕카페,"바치케, 커피",서울 마포구,대흥
홍원,2024-06-21,https://place.map.kakao.com/13083730,🥄🥄,,서울 마포구 : 신촌/대흥,🍜중식,"짜장, 짬뽕, 탕수육",서울 마포구,신촌/대흥
피자몰 신촌점,2024-06-20,https://place.map.kakao.com/27048302,🥄,,서울 마포구 : 신촌,🍕피자,피자,서울 마포구,신촌
정각,2024-06-20,https://place.map.kakao.com/313504476,🥄🥄🥄🥄,,서울 마포구 : 대흥,🍝양식,"스테이크, 파스타",서울 마포구,대흥
거북이의 주방,2024-06-19,https://place.map.kakao.com/1401663204,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍣일식,카레,서울 마포구,신촌
을밀대,2024-06-18,https://place.map.kakao.com/25048467,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,평양냉면,서울 마포구,대흥
프랭크버거 서강대점,2024-06-17,https://place.map.kakao.com/834184731,🥄🥄,,서울 마포구 : 신촌/대흥,🍔패스트푸드,햄버거,서울 마포구,신촌/대흥
구도로통닭 신촌점,2024-06-18,https://place.map.kakao.com/1845470766,🥄🥄,,서울 서대문구 : 신촌,🍗치킨,치킨,서울 서대문구,신촌
서령,2024-06-22,https://place.map.kakao.com/1644608542,🥄🥄🥄,,서울 중구 : 희현,🍚한식,평양냉면,서울 중구,희현
피크니크 홍대 경의선숲길점,2024-06-22,https://place.map.kakao.com/1637508578,🥄🥄🥄🥄,,서울 마포구 : 홍대,☕카페,수플레,서울 마포구,홍대
라온숨,2024-06-14,https://place.map.kakao.com/850275015,🥄🥄🥄,,경기 남양주 : 화도,☕카페,커피,경기 남양주,화도
수제칼집생고기,2024-06-14,https://place.map.kakao.com/13597096,🥄🥄🥄🥄,,경기 남양주 : 평내호평,🥩고기,삼겹살,경기 남양주,평내호평
폴트버거 하남점,2024-06-15,https://place.map.kakao.com/1455286647,🥄🥄,,경기 하남 : 미사,🍔패스트푸드,햄버거,경기 하남,미사
마니마니톡톡,2024-06-03,https://place.map.kakao.com/1060711910,🥄🥄,,서울 마포구 : 대흥,"🍗치킨, 🍚한식","백반, 치킨",서울 마포구,대흥
쿠츠,2024-06-24,https://place.map.kakao.com/14544642,🥄🥄🥄,,서울 마포구 : 대흥,🍣일식,돈까스,서울 마포구,대흥
한창희천하일면,2024-06-11,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
애슐리퀸즈 공덕점,2024-06-28,https://place.map.kakao.com/1811178955,🥄,,서울 마포구 : 공덕,🍽️뷔페,뷔페,서울 마포구,공덕
서강곱창,2024-06-25,https://place.map.kakao.com/23446406,🥄🥄🥄🥄,,서울 마포구 : 대흥,🥩고기,곱창,서울 마포구,대흥
웰빙봉평메일마을,2024-06-24,https://place.map.kakao.com/662370482,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,막국수,서울 마포구,대흥
덮담 홍대점,2024-06-07,https://place.map.kakao.com/1604851454?openhour=1,🥄,,서울 마포구 : 홍대,🍚한식,덮밥,서울 마포구,홍대
웰빙봉평메일마을,2024-06-07,https://place.map.kakao.com/662370482,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,막국수,서울 마포구,대흥
핵밥 서강대점,2024-06-05,https://place.map.kakao.com/1475631715,🥄🥄,,서울 마포구 : 대흥,🍚한식,덮밥,서울 마포구,대흥
엄마애밥상,2024-06-05,https://place.map.kakao.com/980558746,🥄🥄,,서울 마포구 : 마포구청,🍚한식,"덮밥, 도시락",서울 마포구,마포구청
엄마애밥상,2024-06-17,https://place.map.kakao.com/980558746,🥄🥄,,서울 마포구 : 마포구청,🍚한식,"덮밥, 도시락",서울 마포구,마포구청
더랜치브루잉 을지로3가점,2024-06-26,https://place.map.kakao.com/168774091,🥄🥄🥄,,서울 중구 : 을지로,🍕피자,피자,서울 중구,을지로
쭈노치킨가게 충무로가게,2024-06-26,https://place.map.kakao.com/26794773,🥄🥄,,서울 중구 : 을지로,🍗치킨,치킨,서울 중구,을지로
해운대 달맞이 빵,2024-06-26,https://place.map.kakao.com/768172634,🥄🥄🥄🥄🥄,,서울 중구 : 을지로,☕카페,"빵, 커피",서울 중구,을지로
홍콩반점0410 대흥역점,2024-06-27,https://place.map.kakao.com/336646124,🥄🥄,,서울 마포구 : 대흥,🍜중식,"자장면, 짬뽕, 탕수육",서울 마포구,대흥
속초코다리냉면 타임스퀘어점,2024-06-28,https://place.map.kakao.com/787115726,🥄🥄,,서울 영등포구 : 영등포,🍚한식,냉면,서울 영등포구,영등포
마호가니 타임스퀘어점,2024-06-28,https://place.map.kakao.com/872170410,🥄🥄,,서울 영등포구 : 영등포,☕카페,커피,서울 영등포구,영등포
홍원,2024-07-01,https://place.map.kakao.com/13083730,🥄🥄,,서울 마포구 : 신촌/대흥,🍜중식,"짜장, 짬뽕, 탕수육",서울 마포구,신촌/대흥
더파이홀,2024-07-01,https://place.map.kakao.com/1011256721,🥄🥄🥄🥄,,서울 서대문구 : 신촌,☕카페,카페,서울 서대문구,신촌
투다리 신수점,2024-07-02,https://place.map.kakao.com/1410747507,🥄🥄,,서울 마포구 : 대흥,🍺술집,안주,서울 마포구,대흥
바른치킨 서강대 로봇점,2024-07-02,https://place.map.kakao.com/1446748474,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍗치킨,치킨,서울 마포구,신촌/대흥
피자헤븐 마포점,2024-07-03,https://place.map.kakao.com/26334579,🥄,,서울 마포구 : 대흥,🍕피자,피자,서울 마포구,대흥
수저가,2024-04-16,https://place.map.kakao.com/542808268,🥄🥄🥄,,서울 마포구 : 대흥,🍜중식,짬뽕,서울 마포구,대흥
수저가,2024-07-03,https://place.map.kakao.com/651155763,🥄🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍜중식,짬뽕,서울 마포구,신촌/대흥
포가레 신촌점,2024-07-04,https://place.map.kakao.com/140618987,🥄🥄🥄,,서울 서대문구 : 신촌,🧆베트남음식,쌀국수,서울 서대문구,신촌
스아게K,2024-07-04,https://place.map.kakao.com/138967530,🥄🥄🥄🥄🥄,,서울 마포구 : 홍대,🍣일식,카레,서울 마포구,홍대
부산집 2호점,2024-07-05,https://place.map.kakao.com/1095501911,🥄🥄,,서울 마포구 : 대흥,🍺술집,일본식주점,서울 마포구,대흥
태광식당,2024-07-05,https://place.map.kakao.com/27233428,🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,백반,서울 마포구,신촌/대흥
핵밥 서강대점,2024-07-05,https://place.map.kakao.com/1475631715,🥄🥄,,서울 마포구 : 대흥,🍚한식,덮밥,서울 마포구,대흥
명품원조한방왕족발 용산본점,2024-07-06,https://place.map.kakao.com/21344318,🥄🥄🥄🥄🥄,,서울 용산구 : 용산,🍚한식,족발,서울 용산구,용산
펍피맥 용산점,2024-07-06,https://place.map.kakao.com/1392356786,🥄🥄🥄,,서울 용산구 : 용산,"🍕피자, 🍺술집","맥주, 피자",서울 용산구,용산
망향비빔국수 강서점,2024-07-07,https://place.map.kakao.com/9016062,🥄🥄🥄🥄,,서울 강서구 : 등촌/염창,🍚한식,국수,서울 강서구,등촌/염창
솔솥 경의선숲길점,2024-07-08,https://place.map.kakao.com/1900763830,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,솥밥,서울 마포구,대흥
한창희천하일면,2024-07-23,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
파이브가이즈 서울역점,2024-07-09,https://place.map.kakao.com/614833390,🥄🥄🥄🥄,,서울 중구 : 서울역,🍔패스트푸드,햄버거,서울 중구,서울역
뺑스톡 공덕점,2024-07-09,https://place.map.kakao.com/822254572,🥄🥄🥄🥄,,서울 마포구 : 공덕,☕카페,빵,서울 마포구,공덕
호텔오노마대전오토그래프컬렉션,2024-07-10,https://place.map.kakao.com/31629985,🥄🥄🥄🥄,,대전 : 대전 유성,🍽️뷔페,뷔페,대전,대전 유성
한입소반,2024-07-11,https://place.map.kakao.com/23557234,🥄🥄🥄,,서울 용산구 : 용산,🍚한식,김밥,서울 용산구,용산
싱싱나라김밥,2024-07-11,https://place.map.kakao.com/18754045,🥄🥄,,서울 용산구 : 용산,🍚한식,김밥,서울 용산구,용산
개성손만두 마포점,2024-07-12,https://place.map.kakao.com/167873776,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,만두국,서울 마포구,신촌/대흥
아웃닭 신촌역점,2024-07-12,https://place.map.kakao.com/27341509,🥄🥄🥄,,서울 서대문구 : 신촌,🍗치킨,치킨,서울 서대문구,신촌
부엉이산장 신촌점,2024-07-12,https://place.map.kakao.com/1244901881,🥄🥄🥄,,서울 서대문구 : 신촌,"🍚한식, 🍺술집","전, 탕",서울 서대문구,신촌
쌍굴옻닭,2024-07-13,https://place.map.kakao.com/10068499,🥄🥄🥄🥄🥄,,경기 고양시 : 덕양구,🍚한식,"삼계탕, 옻닭",경기 고양시,덕양구
소곤,2024-07-14,https://place.map.kakao.com/2028389229,🥄🥄🥄,,서울 강서구 : 마곡,🍚한식,"소고기, 평양냉면",서울 강서구,마곡
장수보감,2024-07-15,https://place.map.kakao.com/14832719,🥄🥄🥄,,서울 마포구 : 대흥,🍚한식,삼계탕,서울 마포구,대흥
엄마애밥상,2024-07-15,https://place.map.kakao.com/980558746,🥄🥄,,서울 마포구 : 마포구청,🍚한식,"덮밥, 도시락",서울 마포구,마포구청
우리닭곰탕,2024-07-16,https://place.map.kakao.com/1089320134,🥄🥄,,서울 마포구 : 대흥,🍚한식,"닭곰탕, 초계국수",서울 마포구,대흥
덮덮밥 서울공덕점,2024-07-16,https://place.map.kakao.com/900914553,🥄🥄,,서울 마포구 : 공덕,🍚한식,덮밥,서울 마포구,공덕
카라멘야,2024-07-17,https://place.map.kakao.com/1025832828,🥄🥄🥄🥄🥄,,서울 서대문구 : 신촌,🍣일식,라멘,서울 서대문구,신촌
설빙 신촌점,2024-07-17,https://place.map.kakao.com/24879347,🥄🥄,,서울 서대문구 : 신촌,☕카페,빙수,서울 서대문구,신촌
레코드피자,2024-07-17,https://place.map.kakao.com/1458266151,🥄🥄🥄,,서울 마포구 : 홍대,🍕피자,피자,서울 마포구,홍대
투다리 동교점,2024-07-17,https://place.map.kakao.com/18168123,🥄🥄🥄,,서울 마포구 : 홍대,🍺술집,안주,서울 마포구,홍대
오늘도빙수앤커피,2024-07-17,https://place.map.kakao.com/301037533,🥄🥄🥄🥄🥄,,서울 서대문구 : 신촌,☕카페,빙수,서울 서대문구,신촌
밥은먹었어,2024-07-18,https://place.map.kakao.com/636198841,🥄🥄🥄,,서울 서대문구 : 신촌,🍚한식,"덮밥, 찌개",서울 서대문구,신촌
몽주방,2024-07-19,https://place.map.kakao.com/581963667,🥄🥄🥄🥄,,서울 서대문구 : 신촌,🍺술집,안주,서울 서대문구,신촌
톨,2024-07-19,https://place.map.kakao.com/18515034,🥄🥄🥄,,서울 마포구 : 신촌/대흥,"🍚한식, 🍣일식",마제소바,서울 마포구,신촌/대흥
오늘도빙수앤커피,2024-07-19,https://place.map.kakao.com/301037533,🥄🥄🥄🥄🥄,,서울 서대문구 : 신촌,☕카페,빙수,서울 서대문구,신촌
거북이의 주방,2024-07-26,https://place.map.kakao.com/1401663204,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍣일식,카레,서울 마포구,신촌
효자오리바베큐,2024-07-25,https://place.map.kakao.com/527000679,🥄🥄🥄🥄,,서울 마포구 : 신촌,🍚한식,오리,서울 마포구,신촌
포케올데이 공덕점,2024-07-26,https://place.map.kakao.com/1297162293,🥄🥄🥄,,서울 마포구 : 공덕,🥗샐러드,포케,서울 마포구,공덕
키친봄날,2024-07-25,https://place.map.kakao.com/1573253740,🥄🥄🥄🥄,,서울 서대문구 : 신촌,🍚한식,김밥,서울 서대문구,신촌
마포쌈밥식당,2024-07-24,https://place.map.kakao.com/1919542306,🥄🥄🥄,,서울 마포구 : 신촌/대흥,🍚한식,쌈밥,서울 마포구,신촌/대흥
한창희천하일면,2024-07-08,https://place.map.kakao.com/670226941,🥄🥄🥄🥄,,서울 마포구 : 대흥,"🍚한식, 🍣일식",고기국수,서울 마포구,대흥
