식당명,Date,Map,Rate,사람,수식,식당 분류,주요 메뉴,지역-대분류,지역-소분류
버거리 신촌점,2025-08-05,https://place.map.kakao.com/1556187939,🥄🥄,,서울 서대문구 : 신촌,🍔패스트푸드,햄버거,서울 서대문구,신촌
카츠몬스터 연남본점,2025-08-04,https://place.map.kakao.com/1988523643,🥄🥄🥄,,서울 마포구 : 연남,🍣일식,돈까스,서울 마포구,연남
인크커피 다산점,2025-08-02,https://place.map.kakao.com/585660022,🥄🥄🥄🥄🥄,,경기 남양주 : 다산,☕카페,카페,경기 남양주,다산
수제칼집생고기,2025-08-02,https://place.map.kakao.com/13597096,🥄🥄🥄🥄,,경기 남양주 : 평내호평,🥩고기,삼겹살,경기 남양주,평내호평
함박연,2025-08-03,https://place.map.kakao.com/1484816380,🥄🥄🥄🥄🥄,,경기 남양주 : 평내호평,🍣일식,함박,경기 남양주,평내호평
마치st118,2025-08-03,https://place.map.kakao.com/1602285730,🥄🥄🥄🥄,,경기 남양주 : 평내호평,☕카페,카페,경기 남양주,평내호평
슬로우캘리 공덕점,2025-08-01,https://place.map.kakao.com/264285226,🥄🥄🥄,,서울 마포구 : 공덕,🥗샐러드,포케,서울 마포구,공덕
곤자가컨벤션,2025-08-01,https://place.map.kakao.com/8231583,🥄,,서울 마포구 : 대흥,"🍚한식, 🍽️뷔페",뷔페,서울 마포구,대흥
뀌노이,2025-07-31,https://place.map.kakao.com/1893522279,🥄🥄🥄🥄🥄,,서울 마포구 : 대흥,🍝양식,"뇨끼, 파스타",서울 마포구,대흥
이삭토스트 마포용강점,2025-07-31,http://place.map.kakao.com/1095063794,🥄🥄,,서울 마포구 : 마포,🍔패스트푸드,샌드위치,서울 마포구,마포
교촌치킨 신촌점,2025-07-30,https://place.map.kakao.com/26602826,🥄🥄,,서울 서대문구 : 신촌,🍗치킨,치킨,서울 서대문구,신촌
콘서트,2025-07-27,"https://map.naver.com/p/entry/place/1650418825?c=14.00,0,0,0,dh&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202506282140&locale=ko&svcName=map_pcv5",🥄🥄🥄🥄🥄,,서울 송파구 : 송파,☕카페,카페,서울 송파구,송파
개나리아구찜 송파본점,2025-07-27,https://place.map.kakao.com/143467064,🥄🥄🥄🥄,,서울 송파구 : 송파,🍚한식,아구찜,서울 송파구,송파
롯데리아 마곡역점,2025-07-28,https://place.map.kakao.com/34199271,🥄🥄,,서울 강서구 : 마곡,🍔패스트푸드,햄버거,서울 강서구,마곡
카츠몬스터 연남본점,2025-07-30,https://place.map.kakao.com/1988523643,🥄🥄🥄,,서울 마포구 : 연남,🍣일식,돈까스,서울 마포구,연남
아이오밀,2025-07-29,https://place.map.kakao.com/1999464409,🥄🥄🥄🥄🥄,,서울 마포구 : 대흥,🍣일식,오차즈케,서울 마포구,대흥
엄마애밥상,2025-07-29,https://place.map.kakao.com/980558746,🥄🥄,,서울 마포구 : 마포구청,🍚한식,"덮밥, 도시락",서울 마포구,마포구청
